LON,LAT,POSTCODE,fibra_disp
-48.0186134,-16.042474,72550-033,nao
-48.0298739,-16.0304141,72505-412,nao
-47.9971352,-16.0079437,72545-409,nao
-47.9947376,-16.0108978,72546-605,nao
-47.9929885,-16.014584,72546-708,nao
-48.0276939,-16.0238993,72507-224,nao
-48.0218712,-16.0331098,72550-047,nao
-47.9985701,-16.0097514,72545-511,nao
-48.0200388,-16.0194218,72510-410,nao
-47.9957687,-16.0115758,72545-236,nao
-47.9943272,-16.0061263,72546-506,nao
-47.9957972,-16.0075575,72546-504,nao
-48.0323254,-16.0458494,72500-105,nao
-47.9906234,-16.0121803,72547-703,nao
-48.024912,-16.0264986,72508-509,nao
-48.0170013,-16.0184008,72535-060,nao
-47.9928579,-16.0011219,72547-413,nao
-48.0151183,-16.0201473,72536-130,nao
-48.0322181,-16.0345707,72504-403,nao
-48.037869,-16.0449008,72500-420,nao
-48.0012361,-16.0093914,72544-405,nao
-48.0148851,-16.0164371,72535-120,nao
-47.985448,-16.0168529,72548-807,nao
-48.0347911,-16.0404699,72502-205,nao
-48.0105027,-16.0119386,72511-102,nao
-48.0066615,-16.0113618,72542-405,nao
-48.0206882,-16.0341393,72550-053,nao
-47.9916732,-16.0011723,72547-422,nao
-48.0051436,-16.0109938,72542-413,nao
-47.9939162,-16.016325,72546-806,nao
-47.9977666,-16.0113831,72545-506,nao
-47.9865117,-16.0047335,72549-305,nao
-48.0176672,-16.0179778,72535-050,nao
-48.028128,-16.0323218,72504-518,nao
-48.0031227,-16.0135144,72542-511,nao
-48.0351656,-16.0382956,72503-401,nao
-48.0196843,-16.0259971,72509-235,nao
-47.9955144,-16.0108162,72546-601,nao
-48.0254478,-16.0382927,72503-701,nao
-48.0254489,-16.0355987,72503-717,nao
-48.0174996,-16.0220255,72510-515,nao
-48.0350442,-16.0308513,72505-101,nao
-48.0311646,-16.0302864,72505-409,nao
-48.0363478,-16.0307676,72505-102,nao
